ABX3,exp_label,is_train,A,B,X,nA,nB,nX,rA (Ang),rB (Ang),rX (Ang),t,tau,t_pred,tau_pred,tau_prob
PbLiCl3,-1.0,1,Pb,Li,Cl,2,1,-1,1.49,0.76,1.81,0.91,4.21,1,-1,0.52
VLiCl3,-1.0,1,V,Li,Cl,2,1,-1,0.79,0.76,1.81,0.72,52.08,-1,-1,0.0
NaMnCl3,-1.0,1,Na,Mn,Cl,1,2,-1,1.39,0.83,1.81,0.86,4.43,1,-1,0.42
RbMnCl3,1.0,1,Rb,Mn,Cl,1,2,-1,1.72,0.83,1.81,0.95,4.02,1,1,0.61
NaNiCl3,-1.0,1,Na,Ni,Cl,1,2,-1,1.39,0.69,1.81,0.91,4.5,1,-1,0.39
SnNaCl3,-1.0,1,Sn,Na,Cl,2,1,-1,1.15,1.02,1.81,0.74,16.57,-1,-1,0.0
NaZnCl3,-1.0,1,Na,Zn,Cl,1,2,-1,1.39,0.74,1.81,0.89,4.43,1,-1,0.42
TlPbCl3,-1.0,1,Tl,Pb,Cl,1,2,-1,1.7,1.19,1.81,0.83,4.53,1,-1,0.37
RbSrCl3,-1.0,1,Rb,Sr,Cl,1,2,-1,1.72,1.18,1.81,0.83,4.4,1,-1,0.43
TlSrCl3,-1.0,1,Tl,Sr,Cl,1,2,-1,1.7,1.18,1.81,0.83,4.48,1,-1,0.39
TlZnCl3,-1.0,1,Tl,Zn,Cl,1,2,-1,1.7,0.74,1.81,0.97,4.21,1,-1,0.52
DyCoO3,1.0,1,Dy,Co,O,3,3,-2,1.08,0.61,1.4,0.87,2.57,1,1,0.94
KCoF3,1.0,1,K,Co,F,1,2,-1,1.64,0.74,1.33,1.01,3.58,1,1,0.78
RbCoF3,1.0,1,Rb,Co,F,1,2,-1,1.72,0.74,1.33,1.04,3.54,1,1,0.79
TlCoF3,1.0,1,Tl,Co,F,1,2,-1,1.7,0.74,1.33,1.03,3.55,1,1,0.78
GdCoO3,1.0,1,Gd,Co,O,3,3,-2,1.11,0.61,1.4,0.88,2.43,1,1,0.95
HoCoO3,1.0,1,Ho,Co,O,3,3,-2,1.12,0.61,1.4,0.89,2.36,1,1,0.95
KCoI3,-1.0,1,K,Co,I,1,2,-1,1.64,0.74,2.2,0.92,4.74,1,-1,0.29
LaCoO3,1.0,1,La,Co,O,3,3,-2,1.36,0.61,1.4,0.97,1.64,1,1,0.98
CoMnO3,-1.0,1,Co,Mn,O,2,4,-2,0.9,0.53,1.4,0.84,5.06,1,-1,0.21
NdCoO3,1.0,1,Nd,Co,O,3,3,-2,1.27,0.61,1.4,0.94,1.81,1,1,0.97
PrCoO3,1.0,1,Pr,Co,O,3,3,-2,1.18,0.61,1.4,0.91,2.09,1,1,0.96
CoSeO3,-1.0,1,Co,Se,O,2,4,-2,0.9,0.5,1.4,0.86,4.92,1,-1,0.24
CoSiO3,-1.0,1,Co,Si,O,2,4,-2,0.9,0.4,1.4,0.9,5.05,1,-1,0.21
SrCoO3,1.0,1,Sr,Co,O,2,4,-2,1.44,0.53,1.4,1.04,4.08,1,1,0.58
TeCoO3,-1.0,1,Te,Co,O,4,2,-2,0.97,0.74,1.4,0.78,5.61,-1,-1,0.11
CoTiO3,-1.0,1,Co,Ti,O,2,4,-2,0.9,0.6,1.4,0.81,5.81,-1,-1,0.09
YCoO3,1.0,1,Y,Co,O,3,3,-2,1.08,0.61,1.4,0.87,2.63,1,1,0.93
DyCrO3,1.0,1,Dy,Cr,O,3,3,-2,1.08,0.62,1.4,0.87,2.61,1,1,0.93
ErCrO3,1.0,1,Er,Cr,O,3,3,-2,1.06,0.62,1.4,0.86,2.76,1,1,0.92
EuCrO3,1.0,1,Eu,Cr,O,3,3,-2,1.12,0.62,1.4,0.88,2.39,1,1,0.95
KCrF3,1.0,1,K,Cr,F,1,2,-1,1.64,0.8,1.33,0.99,3.52,1,1,0.79
NaCrF3,1.0,1,Na,Cr,F,1,2,-1,1.39,0.8,1.33,0.9,3.81,1,1,0.7
RbCrF3,1.0,1,Rb,Cr,F,1,2,-1,1.72,0.8,1.33,1.01,3.47,1,1,0.81
GdCrO3,1.0,1,Gd,Cr,O,3,3,-2,1.11,0.62,1.4,0.88,2.46,1,1,0.94
LaCrO3,1.0,1,La,Cr,O,3,3,-2,1.36,0.62,1.4,0.97,1.64,1,1,0.98
LuCrO3,1.0,1,Lu,Cr,O,3,3,-2,1.03,0.62,1.4,0.85,3.0,1,1,0.89
CrMoO3,-1.0,1,Cr,Mo,O,2,4,-2,0.8,0.65,1.4,0.76,10.01,-1,-1,0.0
NdCrO3,1.0,1,Nd,Cr,O,3,3,-2,1.27,0.62,1.4,0.94,1.82,1,1,0.97
PrCrO3,1.0,1,Pr,Cr,O,3,3,-2,1.18,0.62,1.4,0.91,2.11,1,1,0.96
PuCrO3,1.0,1,Pu,Cr,O,4,2,-2,0.96,0.8,1.4,0.76,12.08,-1,-1,0.0
ScCrO3,1.0,1,Sc,Cr,O,3,3,-2,0.87,0.62,1.4,0.8,5.51,-1,-1,0.12
TmCrO3,1.0,1,Tm,Cr,O,3,3,-2,1.05,0.62,1.4,0.86,2.84,1,1,0.91
VCrO3,-1.0,1,V,Cr,O,3,3,-2,0.64,0.62,1.4,0.72,71.63,-1,-1,0.0
YCrO3,1.0,1,Y,Cr,O,3,3,-2,1.08,0.62,1.4,0.87,2.67,1,1,0.93
YbCrO3,1.0,1,Yb,Cr,O,3,3,-2,1.04,0.62,1.4,0.86,2.92,1,1,0.9
CsDyI3,1.0,1,Cs,Dy,I,1,2,-1,1.88,1.07,2.2,0.88,4.17,1,1,0.54
CsMgF3,1.0,1,Cs,Mg,F,1,2,-1,1.88,0.72,1.33,1.11,3.57,-1,1,0.78
CsMnF3,-1.0,1,Cs,Mn,F,1,2,-1,1.88,0.83,1.33,1.05,3.37,1,1,0.83
CsGeI3,-1.0,1,Cs,Ge,I,1,2,-1,1.88,0.73,2.2,0.98,4.74,1,-1,0.3
CsMgI3,-1.0,1,Cs,Mg,I,1,2,-1,1.88,0.72,2.2,0.99,4.78,1,-1,0.28
CsMnI3,-1.0,1,Cs,Mn,I,1,2,-1,1.88,0.83,2.2,0.95,4.42,1,-1,0.42
CsNiI3,-1.0,1,Cs,Ni,I,1,2,-1,1.88,0.69,2.2,1.0,4.91,1,-1,0.24
CsPbI3,1.0,1,Cs,Pb,I,1,2,-1,1.88,1.19,2.2,0.85,4.3,1,-1,0.47
CsSnI3,1.0,1,Cs,Sn,I,1,2,-1,1.88,1.15,2.2,0.86,4.24,1,-1,0.5
CsSrI3,-1.0,1,Cs,Sr,I,1,2,-1,1.88,1.18,2.2,0.85,4.29,1,-1,0.48
CsTiI3,-1.0,1,Cs,Ti,I,1,2,-1,1.88,0.86,2.2,0.94,4.35,1,-1,0.45
CsTmI3,1.0,1,Cs,Tm,I,1,2,-1,1.88,1.03,2.2,0.89,4.17,1,1,0.54
CsVI3,-1.0,1,Cs,V,I,1,2,-1,1.88,0.79,2.2,0.96,4.53,1,-1,0.37
CsYbI3,1.0,1,Cs,Yb,I,1,2,-1,1.88,1.02,2.2,0.9,4.17,1,1,0.54
CsNbO3,-1.0,1,Cs,Nb,O,1,5,-2,1.88,0.64,1.4,1.14,3.91,-1,1,0.66
CsVO3,-1.0,1,Cs,V,O,1,5,-2,1.88,0.54,1.4,1.2,4.38,-1,-1,0.44
KCuF3,1.0,1,K,Cu,F,1,2,-1,1.64,0.73,1.33,1.02,3.6,1,1,0.77
RbCuF3,1.0,1,Rb,Cu,F,1,2,-1,1.72,0.73,1.33,1.05,3.57,1,1,0.78
TlCuF3,1.0,1,Tl,Cu,F,1,2,-1,1.7,0.73,1.33,1.04,3.58,1,1,0.78
CuGeO3,-1.0,1,Cu,Ge,O,2,4,-2,0.73,0.53,1.4,0.78,7.25,-1,-1,0.02
LaCuO3,1.0,1,La,Cu,O,3,3,-2,1.36,0.54,1.4,1.01,1.77,1,1,0.97
CuNbO3,-1.0,1,Cu,Nb,O,1,5,-2,0.77,0.64,1.4,0.75,7.69,-1,-1,0.01
CuVO3,-1.0,1,Cu,V,O,1,5,-2,0.77,0.54,1.4,0.79,5.61,-1,-1,0.11
DyFeO3,1.0,1,Dy,Fe,O,3,3,-2,1.08,0.64,1.4,0.86,2.89,1,1,0.91
RbDyI3,1.0,1,Rb,Dy,I,1,2,-1,1.72,1.07,2.2,0.85,4.44,1,-1,0.41
DyMnO3,1.0,1,Dy,Mn,O,3,3,-2,1.08,0.64,1.4,0.86,2.89,1,1,0.91
DyNiO3,1.0,1,Dy,Ni,O,3,3,-2,1.08,0.6,1.4,0.88,2.5,1,1,0.94
DyRhO3,1.0,1,Dy,Rh,O,3,3,-2,1.08,0.66,1.4,0.85,3.12,1,1,0.88
DyTiO3,1.0,1,Dy,Ti,O,3,3,-2,1.08,0.67,1.4,0.85,3.19,1,1,0.86
DyVO3,1.0,1,Dy,V,O,3,3,-2,1.08,0.64,1.4,0.86,2.84,1,1,0.91
ErFeO3,1.0,1,Er,Fe,O,3,3,-2,1.06,0.64,1.4,0.85,3.08,1,1,0.88
ErMnO3,1.0,1,Er,Mn,O,3,3,-2,1.06,0.64,1.4,0.85,3.08,1,1,0.88
ErNiO3,1.0,1,Er,Ni,O,3,3,-2,1.06,0.6,1.4,0.87,2.63,1,1,0.93
ErTiO3,1.0,1,Er,Ti,O,3,3,-2,1.06,0.67,1.4,0.84,3.41,1,1,0.82
ErVO3,1.0,1,Er,V,O,3,3,-2,1.06,0.64,1.4,0.85,3.02,1,1,0.89
EuFeO3,1.0,1,Eu,Fe,O,3,3,-2,1.12,0.64,1.4,0.87,2.61,1,1,0.93
EuGaO3,1.0,1,Eu,Ga,O,3,3,-2,1.12,0.62,1.4,0.88,2.42,1,1,0.95
EuMnO3,1.0,1,Eu,Mn,O,3,3,-2,1.12,0.64,1.4,0.87,2.61,1,1,0.93
EuNiO3,1.0,1,Eu,Ni,O,3,3,-2,1.12,0.6,1.4,0.89,2.31,1,1,0.95
EuScO3,1.0,1,Eu,Sc,O,3,3,-2,1.12,0.74,1.4,0.83,3.94,1,1,0.64
KFeF3,1.0,1,K,Fe,F,1,2,-1,1.64,0.78,1.33,1.0,3.53,1,1,0.79
NaFeF3,1.0,1,Na,Fe,F,1,2,-1,1.39,0.78,1.33,0.91,3.79,1,1,0.71
TlFeF3,1.0,1,Tl,Fe,F,1,2,-1,1.7,0.78,1.33,1.02,3.5,1,1,0.8
KHgF3,1.0,1,K,Hg,F,1,2,-1,1.64,1.02,1.33,0.89,3.69,1,1,0.74
KMgF3,1.0,1,K,Mg,F,1,2,-1,1.64,0.72,1.33,1.02,3.61,1,1,0.77
KMnF3,1.0,1,K,Mn,F,1,2,-1,1.64,0.83,1.33,0.97,3.5,1,1,0.8
KNiF3,1.0,1,K,Ni,F,1,2,-1,1.64,0.69,1.33,1.04,3.67,1,1,0.75
KVF3,1.0,1,K,V,F,1,2,-1,1.64,0.79,1.33,0.99,3.53,1,1,0.79
KZnF3,1.0,1,K,Zn,F,1,2,-1,1.64,0.74,1.33,1.01,3.58,1,1,0.78
LiMgF3,-1.0,1,Li,Mg,F,1,2,-1,0.92,0.72,1.33,0.78,6.06,-1,-1,0.07
MnLiF3,-1.0,1,Mn,Li,F,2,1,-1,0.96,0.76,1.33,0.77,8.56,-1,-1,0.0
PbLiF3,-1.0,1,Pb,Li,F,2,1,-1,1.49,0.76,1.33,0.95,3.57,1,1,0.78
LiZnF3,-1.0,1,Li,Zn,F,1,2,-1,0.92,0.74,1.33,0.77,6.51,-1,-1,0.04
NaMgF3,1.0,1,Na,Mg,F,1,2,-1,1.39,0.72,1.33,0.94,3.78,1,1,0.71
NaMnF3,1.0,1,Na,Mn,F,1,2,-1,1.39,0.83,1.33,0.89,3.85,1,1,0.68
RbMnF3,1.0,1,Rb,Mn,F,1,2,-1,1.72,0.83,1.33,1.0,3.45,1,1,0.81
TlMnF3,1.0,1,Tl,Mn,F,1,2,-1,1.7,0.83,1.33,0.99,3.46,1,1,0.81
NaNiF3,1.0,1,Na,Ni,F,1,2,-1,1.39,0.69,1.33,0.95,3.8,1,1,0.7
PbNaF3,-1.0,1,Pb,Na,F,2,1,-1,1.49,1.02,1.33,0.85,5.01,1,-1,0.22
NaZnF3,1.0,1,Na,Zn,F,1,2,-1,1.39,0.74,1.33,0.93,3.78,1,1,0.71
RbPbF3,1.0,1,Rb,Pb,F,1,2,-1,1.72,1.19,1.33,0.86,4.04,1,1,0.6
RbSrF3,-1.0,1,Rb,Sr,F,1,2,-1,1.72,1.18,1.33,0.86,4.0,1,1,0.62
RbVF3,1.0,1,Rb,V,F,1,2,-1,1.72,0.79,1.33,1.02,3.48,1,1,0.8
RbZnF3,1.0,1,Rb,Zn,F,1,2,-1,1.72,0.74,1.33,1.04,3.55,1,1,0.78
FeGaO3,-1.0,1,Fe,Ga,O,3,3,-2,0.78,0.62,1.4,0.76,9.7,-1,-1,0.0
GdFeO3,1.0,1,Gd,Fe,O,3,3,-2,1.11,0.64,1.4,0.87,2.7,1,1,0.92
HoFeO3,1.0,1,Ho,Fe,O,3,3,-2,1.12,0.64,1.4,0.87,2.61,1,1,0.93
TlFeI3,-1.0,1,Tl,Fe,I,1,2,-1,1.7,0.78,2.2,0.93,4.62,1,-1,0.34
InFeO3,-1.0,1,In,Fe,O,3,3,-2,0.92,0.64,1.4,0.8,5.22,-1,-1,0.17
LaFeO3,1.0,1,La,Fe,O,3,3,-2,1.36,0.64,1.4,0.95,1.65,1,1,0.98
FeMnO3,-1.0,1,Fe,Mn,O,2,4,-2,0.92,0.53,1.4,0.85,4.94,1,-1,0.24
PrFeO3,1.0,1,Pr,Fe,O,3,3,-2,1.18,0.64,1.4,0.89,2.26,1,1,0.95
FeSO3,-1.0,1,Fe,S,O,2,4,-2,0.92,0.37,1.4,0.93,5.24,1,-1,0.17
FeSiO3,-1.0,1,Fe,Si,O,2,4,-2,0.92,0.4,1.4,0.91,5.02,1,-1,0.21
SmFeO3,1.0,1,Sm,Fe,O,3,3,-2,1.24,0.64,1.4,0.91,1.99,1,1,0.97
TbFeO3,1.0,1,Tb,Fe,O,3,3,-2,1.1,0.64,1.4,0.86,2.79,1,1,0.92
FeTiO3,-1.0,1,Fe,Ti,O,2,4,-2,0.92,0.6,1.4,0.82,5.57,-1,-1,0.12
TmFeO3,1.0,1,Tm,Fe,O,3,3,-2,1.05,0.64,1.4,0.85,3.17,1,1,0.87
YFeO3,1.0,1,Y,Fe,O,3,3,-2,1.08,0.64,1.4,0.86,2.96,1,1,0.9
GdGaO3,1.0,1,Gd,Ga,O,3,3,-2,1.11,0.62,1.4,0.88,2.5,1,1,0.94
InGaO3,-1.0,1,In,Ga,O,3,3,-2,0.92,0.62,1.4,0.81,4.54,-1,-1,0.37
LaGaO3,1.0,1,La,Ga,O,3,3,-2,1.36,0.62,1.4,0.97,1.64,1,1,0.98
NdGaO3,1.0,1,Nd,Ga,O,3,3,-2,1.27,0.62,1.4,0.93,1.83,1,1,0.97
PrGaO3,1.0,1,Pr,Ga,O,3,3,-2,1.18,0.62,1.4,0.9,2.13,1,1,0.96
YGaO3,1.0,1,Y,Ga,O,3,3,-2,1.08,0.62,1.4,0.87,2.71,1,1,0.92
GdMnO3,1.0,1,Gd,Mn,O,3,3,-2,1.11,0.64,1.4,0.87,2.7,1,1,0.92
GdNiO3,1.0,1,Gd,Ni,O,3,3,-2,1.11,0.6,1.4,0.89,2.37,1,1,0.95
GdScO3,1.0,1,Gd,Sc,O,3,3,-2,1.11,0.74,1.4,0.83,4.14,1,1,0.55
GdTiO3,1.0,1,Gd,Ti,O,3,3,-2,1.11,0.67,1.4,0.86,2.96,1,1,0.9
GdVO3,1.0,1,Gd,V,O,3,3,-2,1.11,0.64,1.4,0.87,2.66,1,1,0.93
RbGeI3,-1.0,1,Rb,Ge,I,1,2,-1,1.72,0.73,2.2,0.95,4.76,1,-1,0.29
TlGeI3,-1.0,1,Tl,Ge,I,1,2,-1,1.7,0.73,2.2,0.94,4.77,1,-1,0.29
MgGeO3,-1.0,1,Mg,Ge,O,2,4,-2,0.89,0.53,1.4,0.84,5.12,1,-1,0.19
GeMnO3,-1.0,1,Ge,Mn,O,2,4,-2,0.73,0.53,1.4,0.78,7.25,-1,-1,0.02
PbGeO3,1.0,1,Pb,Ge,O,2,4,-2,1.49,0.53,1.4,1.06,4.08,1,1,0.58
SrGeO3,1.0,1,Sr,Ge,O,2,4,-2,1.44,0.53,1.4,1.04,4.08,1,1,0.58
PbHfO3,1.0,1,Pb,Hf,O,2,4,-2,1.49,0.71,1.4,0.97,3.63,1,1,0.76
SrHfO3,1.0,1,Sr,Hf,O,2,4,-2,1.44,0.71,1.4,0.95,3.71,1,1,0.73
NaHgI3,-1.0,1,Na,Hg,I,1,2,-1,1.39,1.02,2.2,0.79,5.56,-1,-1,0.12
HgSeO3,-1.0,1,Hg,Se,O,2,4,-2,1.14,0.5,1.4,0.95,4.33,1,-1,0.46
HgTiO3,1.0,1,Hg,Ti,O,2,4,-2,1.14,0.6,1.4,0.9,4.26,1,-1,0.49
HoNiO3,1.0,1,Ho,Ni,O,3,3,-2,1.12,0.6,1.4,0.89,2.31,1,1,0.95
HoScO3,1.0,1,Ho,Sc,O,3,3,-2,1.12,0.74,1.4,0.83,3.94,1,1,0.64
HoTiO3,1.0,1,Ho,Ti,O,3,3,-2,1.12,0.67,1.4,0.86,2.85,1,1,0.91
ILiO3,-1.0,1,I,Li,O,5,1,-2,0.95,0.76,1.4,0.77,4.85,-1,-1,0.26
NaIO3,1.0,1,Na,I,O,1,5,-2,1.39,0.95,1.4,0.84,4.32,1,-1,0.47
TlIO3,1.0,1,Tl,I,O,1,5,-2,1.7,0.95,1.4,0.93,3.55,1,1,0.78
KMgI3,-1.0,1,K,Mg,I,1,2,-1,1.64,0.72,2.2,0.93,4.82,1,-1,0.27
KMnI3,-1.0,1,K,Mn,I,1,2,-1,1.64,0.83,2.2,0.9,4.55,1,-1,0.36
KTiI3,-1.0,1,K,Ti,I,1,2,-1,1.64,0.86,2.2,0.89,4.51,1,-1,0.38
KTmI3,-1.0,1,K,Tm,I,1,2,-1,1.64,1.03,2.2,0.84,4.56,1,-1,0.36
LiMgI3,-1.0,1,Li,Mg,I,1,2,-1,0.92,0.72,2.2,0.76,7.27,-1,-1,0.02
NaMgI3,-1.0,1,Na,Mg,I,1,2,-1,1.39,0.72,2.2,0.87,4.99,1,-1,0.22
RbMgI3,-1.0,1,Rb,Mg,I,1,2,-1,1.72,0.72,2.2,0.95,4.8,1,-1,0.28
RbMnI3,-1.0,1,Rb,Mn,I,1,2,-1,1.72,0.83,2.2,0.91,4.49,1,-1,0.39
TlMnI3,-1.0,1,Tl,Mn,I,1,2,-1,1.7,0.83,2.2,0.91,4.51,1,-1,0.38
TlPbI3,-1.0,1,Tl,Pb,I,1,2,-1,1.7,1.19,2.2,0.81,4.85,-1,-1,0.26
RbSnI3,-1.0,1,Rb,Sn,I,1,2,-1,1.72,1.15,2.2,0.83,4.63,1,-1,0.33
RbTiI3,-1.0,1,Rb,Ti,I,1,2,-1,1.72,0.86,2.2,0.91,4.44,1,-1,0.41
RbTmI3,1.0,1,Rb,Tm,I,1,2,-1,1.72,1.03,2.2,0.86,4.39,1,-1,0.43
RbVI3,-1.0,1,Rb,V,I,1,2,-1,1.72,0.79,2.2,0.93,4.58,1,-1,0.35
RbYbI3,-1.0,1,Rb,Yb,I,1,2,-1,1.72,1.02,2.2,0.86,4.38,1,-1,0.44
LaInO3,1.0,1,La,In,O,3,3,-2,1.36,0.8,1.4,0.89,2.36,1,1,0.95
InMnO3,-1.0,1,In,Mn,O,3,3,-2,0.92,0.64,1.4,0.8,5.22,-1,-1,0.17
NdInO3,1.0,1,Nd,In,O,3,3,-2,1.27,0.8,1.4,0.86,3.05,1,1,0.89
SmInO3,1.0,1,Sm,In,O,3,3,-2,1.24,0.8,1.4,0.85,3.36,1,1,0.83
SrIrO3,1.0,1,Sr,Ir,O,2,4,-2,1.44,0.62,1.4,0.99,3.76,1,1,0.72
KNO3,-1.0,1,K,N,O,1,5,-2,1.64,0.13,1.4,1.4,14.75,-1,-1,0.0
KNbO3,1.0,1,K,Nb,O,1,5,-2,1.64,0.64,1.4,1.05,3.91,1,1,0.66
KPO3,-1.0,1,K,P,O,1,5,-2,1.64,0.38,1.4,1.21,5.64,-1,-1,0.11
KSbO3,-1.0,1,K,Sb,O,1,5,-2,1.64,0.6,1.4,1.07,4.05,-1,1,0.59
KTaO3,1.0,1,K,Ta,O,1,5,-2,1.64,0.64,1.4,1.05,3.91,1,1,0.66
KUO3,1.0,1,K,U,O,1,5,-2,1.64,0.76,1.4,1.0,3.65,1,1,0.76
KVO3,-1.0,1,K,V,O,1,5,-2,1.64,0.54,1.4,1.11,4.33,-1,-1,0.46
LaLuO3,1.0,1,La,Lu,O,3,3,-2,1.36,0.86,1.4,0.86,2.99,1,1,0.89
LaMnO3,1.0,1,La,Mn,O,3,3,-2,1.36,0.64,1.4,0.95,1.65,1,1,0.98
LaNiO3,1.0,1,La,Ni,O,3,3,-2,1.36,0.6,1.4,0.98,1.64,1,1,0.98
LaScO3,1.0,1,La,Sc,O,3,3,-2,1.36,0.74,1.4,0.91,1.98,1,1,0.97
LaTiO3,1.0,1,La,Ti,O,3,3,-2,1.36,0.67,1.4,0.94,1.69,1,1,0.98
LaTlO3,-1.0,1,La,Tl,O,3,3,-2,1.36,0.88,1.4,0.85,3.31,1,1,0.84
LaTmO3,1.0,1,La,Tm,O,3,3,-2,1.36,0.88,1.4,0.86,3.24,1,1,0.86
LaVO3,1.0,1,La,V,O,3,3,-2,1.36,0.64,1.4,0.96,1.64,1,1,0.98
LaYO3,1.0,1,La,Y,O,3,3,-2,1.36,0.9,1.4,0.85,3.54,1,1,0.79
LaYbO3,1.0,1,La,Yb,O,3,3,-2,1.36,0.87,1.4,0.86,3.08,1,1,0.88
LiNO3,-1.0,1,Li,N,O,1,5,-2,0.92,0.13,1.4,1.07,13.39,-1,-1,0.0
LiNbO3,-1.0,1,Li,Nb,O,1,5,-2,0.92,0.64,1.4,0.8,5.15,-1,-1,0.19
LiPO3,-1.0,1,Li,P,O,1,5,-2,0.92,0.38,1.4,0.92,5.42,1,-1,0.14
LiReO3,-1.0,1,Li,Re,O,1,5,-2,0.92,0.58,1.4,0.83,4.85,1,-1,0.26
